tinh,huyen,xa,diaban,hoso,hhid,comid20022004,year,zone,region,age_head,gender_head,marital_status_head,birth_year_head,edu_grade_head,job_hh_total_agri,lland_area_cul,ethnic,urban,comm_distance_3_main_min,comm_distance_average,comm_disaster_total,comm_geo_area,comm_135,comm_remote,comm_disaster_type_1,comm_disaster_type_2,comm_disaster_type_3,comm_disaster_type_4,comm_disaster_type_5,comm_disaster_type_6,comm_disaster_type_7,comm_share_poor,exposure_export_hh_sum,exposure_export_hh,exposure_export_comm_sum,exposure_export_province_sum,exposure_export_region_sum,exposure_tariff_hh,share_female,lpercap_expense,lpercap_income,age_head_sq,poor_hh,poor_hh_rate_province,criteria_HI,HI_area,SI_area,HI_output,SI_output,VEP,VEP_dummy,SI_output_dummy,SI_output_2,SI_output_3,SI_area_dummy,SI_area_2,SI_area_3,lpaddy_output,lveg_output,lstarchy_output,lann_output,divers_hh,paddy_cul_dum,starchy_cul_dum,veg_cul_dum,ann_cul_dum,fruit_cul_dum,paddy_cul_area_dum,starchy_cul_area_dum,veg_cul_area_dum,ann_cul_area_dum,fruit_cul_area_dum
101,15,3,191,2,101150301913,1011503,2002,1,3,36,1,1,1966,9,3,.32150364,1,0,10,.95925927,,2,0,0,0,0,0,0,0,1,0,.17908654,-.1722042,-.017220419,-.12703589,-.041109938,-.0072528915,.38388669,.60000002,7.7637863,7.930048,1296,0,.1869863,1,.5426427125930786,.4573572874069214,.6131422519683838,.3868577480316162,.192530557513237,1,1,.14965892,.057896711,1,.20917569,.095668025,7.5005293,0,6.3985949,3.2580965,1,1,1,0,1,1,1,1,0,1,1
101,15,3,19,13,101150301913,1011503,2004,1,3,37,1,1,1966,10,0,.21090901,1,0,10,3.5972223,1,2,0,0,0,0,0,0,0,1,0,.016543401,,,,,,,.60000002,8.0222406,7.932003,1369,0,.074561402,1,.4708342254161835,.5291657447814941,.4594584703445435,.5405415296554565,.0006488169892691,1,1,.29218516,.15793821,1,.28001639,.14817508,7.3004727,5.6733232,6.2747622,4.1108737,1,1,1,1,1,1,1,1,1,1,1
101,15,3,191,6,101150301915,1011503,2002,1,3,37,1,1,1965,6,2,.183654,1,0,10,.95925927,,2,0,0,0,0,0,0,0,1,0,.17908654,-.1722042,-.017220419,-.12703589,-.041109938,-.0072528915,.38388669,.75,7.3343554,7.1062455,1369,1,.1869863,1,.4084888100624084,.5915111899375916,.5564775466918945,.4435224533081055,.2584274709224701,1,1,.19671217,.087246262,1,.34988549,.20696118,7.003974,2.0794415,6.1114674,3.6375861,1,1,1,1,1,0,1,1,1,1,0
101,15,3,19,15,101150301915,1011503,2004,1,3,39,1,1,1965,8,2,.18639657,1,0,10,3.5972223,1,2,0,0,0,0,0,0,0,1,0,.016543401,.57774389,.057774387,.028413633,.055995107,.0098790321,.31813148,.75,7.6943927,7.7484598,1521,0,.074561402,1,.399016946554184,.6009830236434937,.4187779128551483,.5812220573425293,.018074881285429,1,1,.33781907,.19634791,1,.3611806,.21706341,7.0308576,4.7957907,6.72263,4.6151204,1,1,1,1,1,1,1,1,1,1,1
101,15,19,51,1,101151900513,1011519,2002,1,3,38,1,1,1964,9,3,.35907209,1,0,5,2.0416667,,3,1,0,0,0,0,0,1,1,0,.10788643,.19099121,.03819824,-.049156327,-.020230958,-.0035692814,.95720118,.2,8.3622503,8.0799894,1444,0,.1869863,1,.4416858851909637,.5583140850067139,.4934816062450409,.5065183639526367,.10847507417202,1,1,.25656086,.12995279,1,.31171462,.17403466,7.986505,6.0378709,6.9087548,4.6634393,1,1,1,1,1,1,1,1,1,1,1
101,15,19,5,13,101151900513,1011519,2004,1,3,39,1,1,1964,6,0,.36346188,1,0,5,3.2083333,2,3,0,0,0,0,0,0,1,1,0,.027554534,.10930134,.021860268,.0036433784,.00057202799,.00010092102,1.01775,.2,8.1373959,9.1273937,1521,0,.074561402,1,.5775339007377625,.4224660992622375,.5751542448997498,.4248457551002502,.0015309402951971,1,1,.18049392,.076682076,1,.1784776,.07540074,8.3804569,7.0219765,5.9939613,4.3944492,1,1,1,1,1,1,1,1,1,1,1
101,15,19,51,3,101151900514,1011519,2002,1,3,63,1,1,1939,7,3,.25309062,1,0,5,2.0416667,,3,1,0,0,0,0,0,1,1,0,.10788643,-.1722042,-.034440838,-.091842242,-.041109938,-.0072528915,.76777339,.33333334,7.6695514,7.1126208,3969,0,.1869863,1,.4731476902961731,.5268523097038269,.4304370284080505,.5695629715919495,.0813951194286346,1,1,.32440197,.18476735,1,.27757335,.14624016,7.3238306,5.7071104,6.6567264,3.8066626,1,1,1,1,1,1,1,1,1,1,1
101,15,19,5,14,101151900514,1011519,2004,1,3,65,1,1,1939,3,2,.22633845,1,0,5,3.2083333,2,3,0,0,0,0,0,0,1,1,0,.027554534,.48270237,.096540473,.1093376,.065306515,.011521813,1.4851521,.33333334,7.7630215,8.2644148,4225,0,.074561402,1,.5549999475479126,.4450000524520874,.5924481749534607,.4075518250465393,.0202038511633873,1,1,.16609849,.06769374,1,.19802505,.088121153,7.5709586,0,6.5525079,3.713572,1,1,1,0,1,1,1,1,0,1,1
101,15,19,51,5,101151900515,1011519,2002,1,3,31,1,1,1971,9,1,.19556679,1,0,5,2.0416667,,3,1,0,0,0,0,0,1,1,0,.10788643,-.1722042,-.034440838,-.091842242,-.041109938,-.0072528915,.76777339,.25,7.670279,7.9723144,961,0,.1869863,1,.4186147749423981,.5813852548599243,.418896496295929,.581103503704071,.0667592138051987,1,1,.33768129,.19622777,1,.33800882,.19651334,7.4030609,5.9162021,6.5806394,4.6151204,1,1,1,1,1,0,1,1,1,1,0
101,15,19,5,15,101151900515,1011519,2004,1,3,32,1,1,1971,7,1,.25122553,1,0,5,3.2083333,2,3,0,0,0,0,0,0,1,1,0,.027554534,.43330792,.086661585,.086661585,.055995107,.0098790321,.47719717,.25,8.6355095,8.2658434,1024,0,.074561402,1,.5648846626281738,.4351153373718262,.6378503441810608,.3621496558189392,.0134715074673295,1,1,.13115238,.047496788,1,.18932536,.082378365,7.6063876,0,6.3117347,3.9318256,1,1,1,0,1,1,1,1,0,1,1
