tag_delta_comid,hhid,comid20122014,year,zone,region,age_head,gender_head,marital_status_head,birth_year_head,edu_grade_head,job_hh_total_agri,lland_area_cul,ethnic,urban,comm_distance_3_main_min,comm_distance_average,comm_disaster_total,comm_geo_area,comm_135,comm_remote,comm_disaster_type_1,comm_disaster_type_2,comm_disaster_type_3,comm_disaster_type_4,comm_disaster_type_5,comm_disaster_type_6,comm_disaster_type_7,comm_share_poor,exposure_export_hh_sum,exposure_export_hh,exposure_export_comm_sum,exposure_export_province_sum,exposure_export_region_sum,exposure_tariff_hh,share_female,lpercap_expense,lpercap_income,age_head_sq,poor_hh,poor_hh_rate_province,criteria_HI,HI_area,SI_area,HI_output,SI_output,VEP,VEP_dummy,SI_output_dummy,SI_output_2,SI_output_3,SI_area_dummy,SI_area_2,SI_area_3,lpaddy_output,lveg_output,lstarchy_output,lann_output,divers_hh,paddy_cul_dum,starchy_cul_dum,veg_cul_dum,ann_cul_dum,fruit_cul_dum,paddy_cul_area_dum,starchy_cul_area_dum,veg_cul_area_dum,ann_cul_area_dum,fruit_cul_area_dum
0,1016004061914,12006,2012,1,3,45,1,1,1966,6,1,.13453089,1,0,15,12.222222,0,3,0,0,0,0,0,0,0,0,1,.088610895,.78187048,.052124698,.65875995,.13418758,.023674276,.35911417,.35714287,9.960494,10.406443,2025,0,.078571431,1,.7676475644111633,.2323524355888367,.7374033331871033,.2625966668128967,.0155095541849732,1,1,.068957008,.01810788,1,.053987656,.012544163,6.9948502,5.0039463,0,3.8066626,1,1,0,1,1,0,1,0,1,1,0
0,1016004061914,12006,2014,1,3,47,1,1,1966,5,2,.17965132,1,0,15,12.222222,2,3,0,0,0,0,1,1,0,0,1,.022686921,.40373698,.026915798,.11332329,.037171535,.0065580523,.57163465,.35714287,9.6645212,10.066116,2209,0,.057142857,1,.7325475215911865,.2674524784088135,.7276667952537537,.2723332047462463,.0417707525193691,1,1,.074165374,.020197693,1,.071530826,.019131098,7.2520537,5.3033047,0,4.1271343,1,1,0,1,1,1,1,0,1,1,1
0,1016004061915,12006,2012,1,3,48,1,1,1963,9,3,.19556679,1,0,15,12.222222,0,3,0,0,0,0,0,0,0,0,1,.088610895,1.4162579,.094417192,.63550031,.13370067,.023588371,.1177593,.35294119,9.2994652,9.7284193,2304,0,.078571431,1,.5817303657531738,.4182696342468262,.6291044354438782,.3708955645561218,.0206651501357555,1,1,.13756353,.051021699,1,.17494948,.073176056,7.4211774,4.6151204,5.7071104,4.3307333,1,1,1,1,1,1,1,1,1,1,1
0,1016004061915,12006,2014,1,3,50,1,1,1963,9,1,.19556679,1,0,15,12.222222,2,3,0,0,0,0,1,1,0,0,1,.022686921,.22021027,.014680685,.13065052,.038580414,.0068066162,.23678306,.35294119,9.2522821,10.395497,2500,1,.057142857,1,.719046950340271,.280953049659729,.7327978014945984,.2672021985054016,.000930683570914,1,1,.071397014,.019077439,1,.078934617,.022176921,7.3846102,0,5.3981628,4.2626801,1,1,1,0,1,1,1,1,0,1,1
0,1016004180814,12018,2012,1,3,36,1,1,1976,12,2,.12821731,1,0,10,11.055555,0,3,0,0,0,0,0,0,0,0,1,.033420365,1.3218406,.13218406,.63550031,.13370067,.023588371,.16486302,.5,10.395368,9.4770031,1296,0,.078571431,1,.9999998807907104,1.19209289551e-07,1,0,.0082616861909628,1,0,0,0,0,1.4210855e-14,1.6940659e-21,7.160069,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1016004180814,12018,2014,1,3,38,1,1,1976,10,0,.087278008,1,0,10,10.972222,1,3,0,0,0,0,1,0,0,0,1,.015744489,.1227502,.01227502,.070817426,.0016060312,.0002833468,.40018901,.5,9.8808966,9.8800144,1444,0,.057142857,1,1,0,1,0,.0008341097272933,1,0,0,0,0,0,0,6.8834624,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1016004180815,12018,2012,1,3,51,1,1,1961,5,2,.25309062,1,0,10,11.055555,0,3,0,0,0,0,0,0,0,0,1,.033420365,1.0694872,.10694872,.75150728,.13958187,.024625972,.4332625,.46666667,9.8006315,9.8289795,2601,0,.078571431,1,1,0,1,0,.0465013533830643,1,0,0,0,0,0,0,7.904335,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1016004180815,12018,2014,1,3,53,1,1,1961,5,1,.19704595,1,0,10,10.972222,1,3,0,0,0,0,1,0,0,0,1,.015744489,.46332347,.046332348,.189814,.044314064,.0078181857,.49835396,.5,9.8421526,10.320881,2809,0,.057142857,1,.7923876047134399,.2076123952865601,.6088889241218567,.3911110758781433,.0114013468846679,1,1,.15296787,.059827428,1,.043102905,.0089486977,7.003974,5.9939613,0,0,1,1,0,1,0,0,1,0,1,0,0
0,1017004630114,12163,2012,1,3,44,1,1,1968,5,0,.13453089,1,0,25,9.416667,0,2,0,0,0,0,0,0,0,0,0,.02829602,1.24036,.0496144,.82690668,.036202133,.0063870237,.071808331,.40000001,9.8465471,9.4834166,1936,0,.078571431,1,1,0,1,0,.0108049446716905,1,0,0,0,0,0,0,7.2086005,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1017004630114,12163,2014,1,3,46,1,1,1968,4,1,.12354419,1,0,25,9.5,0,2,0,0,0,0,0,0,0,0,1,.019559903,1.9576464,.078305855,.71439683,.092263401,.01627773,.099308684,.40000001,10.005217,9.8270388,2116,0,.057142857,1,1,0,1,0,.027176059782505,1,0,0,0,0,0,0,7.1631722,0,0,0,0,1,0,0,0,0,1,0,0,0,0
